,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
56,Ngwedze_,2023-03-01 19:50:20+00:00,0,Twitter for iPhone,@LungaN_ @ThembaGwejela I’ve ran out of yhoo!! It’s a lot and we are only on the first day of the month? 😭 niyahlazana nina!,0,1,45.0
57,GoldySne,2023-03-01 19:49:11+00:00,0,Twitter for iPhone,"@Shidute2000 @Nontobe35486153 @Ke_Arturo It’s by my work place Toyota, the beach is dirty yhoo",0,2,27.0
58,JayJaySarps,2023-03-01 19:47:57+00:00,209,Twitter for Android,"That laughter when they saw Nelisa come out...yhoo ha.

This show should do and finish sha",12,12,32801.0
59,MzuzwanaYamkela,2023-03-01 19:46:12+00:00,2,Twitter for Android,You guys can lie yhoo #BBTitans,0,0,706.0
60,TheZarBillion,2023-03-01 19:46:10+00:00,0,Twitter for Android,yhoo,0,0,162.0
61,MasizoleSukwana,2023-03-01 19:45:07+00:00,0,Twitter for Android,@Custababy Yhoo..,0,1,49.0
62,ikkhonna,2023-03-01 19:43:10+00:00,0,Twitter for Android,@ThembaGwejela Yhoo https://t.co/0turbqpmvX,0,0,36.0
63,malhilhi_s,2023-03-01 19:42:09+00:00,0,Twitter Web App,@Prettienesss Atleast he warned us but yhoo hayi sana,0,1,57.0
64,Lebohan42144747,2023-03-01 19:37:42+00:00,0,Twitter for Android,"@melMabs Yhoo idolo idolo thixo ,yeses nkosi yami",0,1,15.0
65,m1_mokgethwa,2023-03-01 19:36:10+00:00,0,Twitter for Android,Yhoo🙌😂😩💔 https://t.co/g4FaXOVDyT,0,0,142.0
66,Lethaboo2,2023-03-01 19:35:59+00:00,0,Twitter for iPhone,@Asibonge_M @Mojareu Yhoo yhoo yhooooo dragging him for filth tjerr,0,1,692.0
67,LishleM,2023-03-01 19:33:38+00:00,0,Twitter for iPhone,@mabhusulagc @thutozadc1 And then your stomach turns deep in your gut yhoo,1,0,657.0
68,Sihlalo_Wesjita,2023-03-01 19:33:17+00:00,0,Twitter for Android,Yhoo,0,0,247.0
69,Michael02446633,2023-03-01 19:31:44+00:00,2,Twitter for Android,@Makolah @54Battalion Yhoo ama meneme ezinja. DD lost in the conference and the judgements says the president must go to the lower court if I say if he is not satisfied with the outcomes in a lower court he can then appeal to the con court. Do you gerit? If you don't just take a chill pill,0,0,118.0
70,ZukiswaTshaka1,2023-03-01 19:30:44+00:00,1,Twitter for Android,@marwalej Yhoo izinto azikho zintle in Venda shame,0,0,8.0
71,tshepnix,2023-03-01 19:29:01+00:00,0,Twitter for Android,@rilwelen1 Yhoo otswa kae Rilwe?,0,1,87.0
72,Aya_ndiswa,2023-03-01 19:28:01+00:00,0,Twitter for Android,@Pearlzeeee Yhoo and bhutu seems to be enjoying,0,1,8.0
73,Sihlalo_Wesjita,2023-03-01 19:27:13+00:00,4,Twitter for Android,Yhoo ziyakhala for Luzuko Mxenge. 🤣 🤣 #GqeberhaTheEmpire,1,0,511.0
74,SimplyTulie,2023-03-01 19:23:51+00:00,0,Twitter for Android,Tody is tody sana yhoo😭,0,0,141.0
75,oyama_yaya,2023-03-01 19:23:33+00:00,0,Twitter for Android,"@Trixx_Ray Kudala ndisithi yhoo

https://t.co/Ab59V0ctAE",0,0,939.0
76,Lissssativa,2023-03-01 19:21:59+00:00,0,Twitter for Android,Yhoo😭😭😭😭,0,0,1455.0
77,Aya_ndiswa,2023-03-01 19:21:53+00:00,0,Twitter for Android,@Pearlzeeee Yhoo ndikhuza ndodwa😂😂😂,0,1,8.0
78,Papieh_more,2023-03-01 19:21:20+00:00,0,Twitter for Android,Yhoo Rami le yena https://t.co/xMH7VDk891,0,0,55.0
79,Aya_ndiswa,2023-03-01 19:20:57+00:00,0,Twitter for Android,@Jacinta17887733 Yhoo I'm on the floor 😂😂😂,0,0,
80,Rachel73493195,2023-03-01 19:20:07+00:00,1,Twitter for Android,@M_siyamthanda_ Yhoo I'm OBSESSED 😭😭,0,0,
81,OLUTHANDO123,2023-03-01 19:19:41+00:00,4,Twitter for iPhone,Yhoo bendicinga bazobhaqa umzimba  #GqeberhaTheEmpire,0,0,
82,humble_Azania,2023-03-01 19:19:29+00:00,3,Twitter for iPhone,@Landless_Queen @HSHRAW @KingToomz @mhloct22 @kokosi1 @Ncence63480620 Lol yhoo https://t.co/QsALx5Ft9m,0,1,
83,BongiYemyem,2023-03-01 19:17:16+00:00,0,Twitter for Android,@MZamatolo Basile abafana yhoo..,0,0,
84,ProfectuSystems,2023-03-01 19:17:10+00:00,0,Profectus Systems App,Large cap trading model subscriptions available at Profectus Systems $BAC $SIRI $YHOO $PBR $CRM $MRO $FCX $CSCO $F $INTC $MU $MT $TCK $MDVN,0,0,
85,_MaKhondlo,2023-03-01 19:05:28+00:00,0,Twitter for iPhone,@sliez0 Yhoo mina ngabe ngiswelekile nasi🤞🏽,0,1,
86,Kumkanikaz2,2023-03-01 19:04:21+00:00,0,Twitter for Android,@ThembaGwejela Yhoo bethuna,0,0,
87,SZulu12,2023-03-01 19:03:00+00:00,0,Twitter for Android,@babyl4real @BukariSaddick @i_love_ronaldoo T loves only Tsatsi yhoo that small boy hates Khosi with passion I don't know why Khosi don't see it or is playing a game to make yemi jealous I guess 🤔,0,0,
88,Elvis02979790,2023-03-01 19:01:21+00:00,0,Twitter Web App,@BonganiMkhuchwa yhoo bra add me please,0,1,
89,Aya_ndiswa,2023-03-01 18:55:42+00:00,3,Twitter for Android,@ntombi_waKWT @MDNnewss Yhoo,0,0,
90,ntatevinny,2023-03-01 18:55:17+00:00,0,Twitter for iPhone,Yhoo kuningi 💀,0,0,
91,BBlubah,2023-03-01 18:55:03+00:00,0,Twitter for iPhone,@TheDog37796024 @thadisiwe1 Haii bafwethu hv a bit of control bandla yhoo,0,0,
92,Sithabile__M,2023-03-01 18:54:47+00:00,0,Twitter for iPhone,@keke_kaykay2 @ThembaGwejela Yhonna yhoo 😭😭,0,1,
93,LeslyJohn7,2023-03-01 18:52:12+00:00,0,Twitter for Android,@mabuse_bontle There's really nothing we have not been accused of🙆🏽‍♀️ yhoo... Like we are busy voting out here.,0,0,
94,TiChitsinde,2023-03-01 18:51:17+00:00,0,Twitter for Android,@LynnBlaze Yhoo! It's a lot,0,0,
95,Qaqamba03001111,2023-03-01 18:49:00+00:00,0,Twitter for Android,Yhoo a.a Khosi please dont do it my dear,0,1,
96,Zee_Nomji,2023-03-01 18:48:05+00:00,0,Twitter for Android,@MqonqoNasiphi Yhoo abamniki chance,0,0,
97,NthabisengHoff1,2023-03-01 18:47:13+00:00,0,Twitter for iPhone,"@MatlalaKelello Yhoo imagine, I won’t even try to sleep 🤣",0,1,
98,MzuGuy,2023-03-01 18:44:30+00:00,1,Twitter for Android,@busiswa_stemele Yhoo😂😂,0,0,
99,tseepati,2023-03-01 18:41:51+00:00,1,Twitter for iPhone,@TsakaniMugari Yhoo those tantrums 🙆🏽‍♀️😭,0,1,199.0
100,Dee_Yzy,2023-03-01 18:39:39+00:00,1,Twitter Web App,@khanyisile____ ungenaphi u malema bethuna yhoo😭😭😭😂😂😂,0,1,31.0
101,MikeZA__,2023-03-01 18:39:19+00:00,0,Twitter for Android,"I so widh Uber eats was faster, 30min is too long yhoo hhaa",0,0,57.0
102,Sam_Magingxa,2023-03-01 18:36:53+00:00,0,Twitter for iPhone,Lol I say “like” a lot but yhoo 😂 this whole answer was just “Like like like like”,0,0,154.0
103,akaympofu,2023-03-01 18:36:27+00:00,0,Twitter for iPhone,Yhoo ha a 🚮,0,0,277.0
104,anesu_solomon,2023-03-01 18:34:53+00:00,0,Twitter for iPhone,@Xtraunique1 Yhoo😭😭,0,0,17.0
105,Mamamankosi,2023-03-01 18:31:54+00:00,0,Twitter for Android,@TheePrincess9 🤦‍♀️🤦‍♀️ yhoo that one is soooo confused shem,0,0,86.0
106,Mthobisi_Yolisa,2023-03-01 18:26:41+00:00,1,Twitter for Android,"@GershomMayana 😅😅😅🤣🤣 yhoo chief,, I was not ready 4 this 1",0,0,64.0
107,RekindleSithole,2023-03-01 18:26:25+00:00,0,Twitter for Android,@Simanye_Mavume I choose to have my kid alone and Yhoo sana over had breakdowns left right and center. And what I've realized that it's the struggles that are actually pushing me to do more cause ever since I stopped struggling for myself life y life had changed drastically ♥️ strength to u love,0,0,35.0
108,Siya_kaNtombela,2023-03-01 18:25:52+00:00,1,Twitter for Android,@manqoba03 Yhoo iintloni endinazo asoze ndalunga mna apha,0,1,62.0
109,Janiefrancis20,2023-03-01 18:25:35+00:00,0,Twitter for Android,@Bigbaiby Yhoo,0,0,18.0
110,_ntandoo,2023-03-01 18:24:04+00:00,1,Twitter for iPhone,@Sosoqinga @NdinguGigi Yhoo liyoyikisa izulu lase KZN. I always want to cry when ligqakraza pha🤣😂,0,1,9.0
111,Bigbaiby,2023-03-01 18:24:03+00:00,0,Twitter for iPhone,@opeadek Yhoo💀,0,0,21.0
112,This_IsHombs,2023-03-01 18:20:29+00:00,1,Twitter for iPhone,"@SindisiweSa 😂😂Huns always think bayafunwa abantu babo. Kwelinye ixesha kanti umntu usuke e free spirited nje or ezithandela abantu so they will make conversation kungabikho nto itheni but izongena wrong ke ku madam, kulapho ke ufike nje umntu se sour ebusweni usangena. Ndiqonde yhoo bawo🙉",0,1,35.0
113,DWumz,2023-03-01 18:18:01+00:00,0,Twitter for Android,BBT CNN nags alot yhoo 🥴,0,0,124.0
114,DWumz,2023-03-01 18:17:21+00:00,0,Twitter for Android,@mis_kaysie Yhoo 🥹,0,1,59.0
115,Uhurulaila,2023-03-01 18:16:22+00:00,10,Twitter for Android,"#BBTitans so tsatsi want more than hug from kj,hehehe even the doctor said a kiss won't do yhoo!! Girl want to scream,she must check Kj very dangerous 😂 🤣",0,0,719.0
116,Yoliie_N,2023-03-01 18:15:36+00:00,1,Twitter for iPhone,Yhoo 💔,0,0,364.0
